Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL3924245,,0,528.65,1,3.47,11,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(C)c3cc(CO)ccc3C)n2)ccc1N1CCN(C)CC1,IC50,'=',490,nM,6.31,,,UO_0000065,11.94,0.23,2.84,6.19,0,CHEMBL3865530,Inhibition of PAK1 phosphorylation in human MCF10A cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF-10A,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3864184,1,Scientific Literature,ACS Med Chem Lett,2016,CHEMBL3307364,
CHEMBL3961614,,0,501.58,1,3.17,3,Cc1ccc(CO)cc1N(C)c1nc(Nc2cc(N3CCOCC3)cc(S(C)(=O)=O)c2)ncc1F,IC50,'=',860,nM,6.07,,,UO_0000065,12.09,0.24,2.9,5.62,0,CHEMBL3865530,Inhibition of PAK1 phosphorylation in human MCF10A cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF-10A,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3864184,1,Scientific Literature,ACS Med Chem Lett,2016,CHEMBL3307364,
CHEMBL3914181,,0,604.75,2,5.04,16,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(Cc3ccccc3)c3cc(CO)ccc3C)n2)ccc1N1CCN(C)CC1,IC50,'=',1.5,nM,8.82,,,UO_0000065,14.59,0.28,3.78,8.66,0,CHEMBL3865529,Inhibition of PAK1 (unknown origin) by ATP-kinaseGlo assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3864184,1,Scientific Literature,ACS Med Chem Lett,2016,None,
CHEMBL3914181,,0,604.75,2,5.04,16,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(Cc3ccccc3)c3cc(CO)ccc3C)n2)ccc1N1CCN(C)CC1,IC50,'=',230,nM,6.64,,,UO_0000065,10.98,0.21,1.6,6.51,0,CHEMBL3865530,Inhibition of PAK1 phosphorylation in human MCF10A cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF-10A,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3864184,1,Scientific Literature,ACS Med Chem Lett,2016,CHEMBL3307364,
CHEMBL3962678,,0,514.63,1,3.08,10,Cc1ccc(CO)cc1N(C)c1nc(Nc2ccc(N3CCN(C)CC3)c(S(C)(=O)=O)c2)ncc1F,IC50,'=',810,nM,6.09,,,UO_0000065,11.84,0.23,3.01,5.98,0,CHEMBL3865530,Inhibition of PAK1 phosphorylation in human MCF10A cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF-10A,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3864184,1,Scientific Literature,ACS Med Chem Lett,2016,CHEMBL3307364,
CHEMBL3935195,,0,450.56,0,3.99,9,Cc1cc(C)c(N(C)c2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2F)cc1CO,IC50,'=',2100,nM,5.68,,,UO_0000065,12.6,0.23,1.69,8.38,0,CHEMBL3865530,Inhibition of PAK1 phosphorylation in human MCF10A cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF-10A,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3864184,1,Scientific Literature,ACS Med Chem Lett,2016,CHEMBL3307364,
CHEMBL3891484,,0,501.58,1,3.17,5,Cc1ccc(N(C)c2nc(Nc3cc(N4CCOCC4)cc(S(C)(=O)=O)c3)ncc2F)cc1CO,IC50,'=',420,nM,6.38,,,UO_0000065,12.71,0.25,3.21,5.91,0,CHEMBL3865530,Inhibition of PAK1 phosphorylation in human MCF10A cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF-10A,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3864184,1,Scientific Literature,ACS Med Chem Lett,2016,CHEMBL3307364,
CHEMBL3964858,,0,554.69,1,3.92,14,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(C)c3cc(CO)c(C)cc3C)n2)ccc1N1C[C@@H]2C[C@H]1CN2C,IC50,'=',110,nM,6.96,,,UO_0000065,12.55,0.24,3.04,6.83,0,CHEMBL3865530,Inhibition of PAK1 phosphorylation in human MCF10A cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF-10A,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3864184,1,Scientific Literature,ACS Med Chem Lett,2016,CHEMBL3307364,
CHEMBL3609329,,0,358.85,0,3.89,5,CN1CCN(C2=Nc3cc(F)ccc3N(C)c3ccc(Cl)cc32)CC1,IC50,'=',900,nM,6.05,,,UO_0000065,16.85,0.33,2.16,27.38,0,CHEMBL3610932,Inhibition of wild type dephosphorylated form of PAK1 (249 to 545) (unknown origin) expressed in Escherichia coli using 5-Fluo-Ahx-AKRRRLSSLRA-COOH as substrate preincubated for 60 mins followed by substrate addition measured after 60 mins by Caliper assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3608218,1,Scientific Literature,ACS Med. Chem. Lett.,2015,None,
CHEMBL3596921,,0,512.01,2,5.81,24,O=C(c1ccc(COc2ccccc2)cc1Cl)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,IC50,'=',3,nM,8.52,,,UO_0000065,16.65,0.31,2.71,10.05,0,CHEMBL3598610,Inhibition of human PAK1 kinase domain incubated for 120 mins using fluorescent 5-FAM-KPDRKKRYTVVGNPY-amide peptide substrate and ATP by caliper off-chip incubation mobility shift assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3596182,1,Scientific Literature,MedChemComm,2014,None,
CHEMBL3596906,,0,401.47,0,3.59,9,COc1ccccc1C(=O)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,IC50,'=',490,nM,6.31,,,UO_0000065,15.72,0.29,2.72,7.44,0,CHEMBL3598610,Inhibition of human PAK1 kinase domain incubated for 120 mins using fluorescent 5-FAM-KPDRKKRYTVVGNPY-amide peptide substrate and ATP by caliper off-chip incubation mobility shift assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3596182,1,Scientific Literature,MedChemComm,2014,None,
CHEMBL3822986,,0,360.43,0,3.87,(R)-5,C[C@@H](Nc1nccc(Nc2cc(C3CC3)[nH]n2)n1)c1ccc2[nH]ccc2n1,IC50,'=',685,nM,6.16,,,UO_0000065,17.1,0.31,2.29,5.75,0,CHEMBL3824459,Inhibition of recombinant human GST-tagged PAK1 kinase domain expressed in baculovirus expression system assessed as suppression of phosphorylation of coumarin/fluorescein-labelled FRET peptide substrate at Ser/Thr19 residues preincubated with substrate for 10 mins followed by enzyme addition measured after 60 mins by Z-Lyte assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3822406,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2016,None,
CHEMBL3596908,,0,405.89,0,4.24,11,O=C(c1ccc(Cl)cc1)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,IC50,'=',260,nM,6.58,,,UO_0000065,16.22,0.31,2.35,8.71,0,CHEMBL3598610,Inhibition of human PAK1 kinase domain incubated for 120 mins using fluorescent 5-FAM-KPDRKKRYTVVGNPY-amide peptide substrate and ATP by caliper off-chip incubation mobility shift assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3596182,1,Scientific Literature,MedChemComm,2014,None,
CHEMBL3580972,,0,360.43,0,3.87,27,C[C@H](Nc1nccc(Nc2cc(C3CC3)[nH]n2)n1)c1ccc2[nH]cnc2c1,IC50,'=',281,nM,6.55,,,UO_0000065,18.18,0.33,2.68,6.11,0,CHEMBL3584418,Inhibition of PAK1 in human EBC1 cells assessed as inhibition of MEK phosphorylation at S298 after 2 hrs by HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,EBC1,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3580661,1,Scientific Literature,J. Med. Chem.,2015,None,
CHEMBL593490,,0,463.54,1,5.62,1,Cc1[nH]nc2ccc(-c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)cnc3-c3ccoc3)cc12,IC50,'=',31,nM,7.51,,,UO_0000065,16.2,0.29,1.89,7.1,0,CHEMBL1071323,Inhibition of PAK1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153227,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010,None,
CHEMBL1762546,,0,483.59,0,3.03,1,Cc1ccc(CO)cc1N(C)c1ccnc(Nc2cc(N3CCOCC3)cc(S(C)(=O)=O)c2)n1,IC50,'=',3100,nM,5.51,,,UO_0000065,11.39,0.22,2.48,5.11,0,CHEMBL3865530,Inhibition of PAK1 phosphorylation in human MCF10A cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF-10A,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3864184,1,Scientific Literature,ACS Med Chem Lett,2016,CHEMBL3307364,
CHEMBL3933198,,0,529.64,1,3.87,13,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(C)c3cc(CO)c(C)cc3C)n2)cc(N2CCOCC2)c1,IC50,'=',2.8,nM,8.55,,,UO_0000065,16.15,0.32,4.68,7.93,0,CHEMBL3865529,Inhibition of PAK1 (unknown origin) by ATP-kinaseGlo assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3864184,1,Scientific Literature,ACS Med Chem Lett,2016,None,
CHEMBL3580968,,0,359.44,0,4.48,23,C[C@H](Nc1nccc(Nc2cc(C3CC3)[nH]n2)n1)c1ccc2[nH]ccc2c1,IC50,'=',120,nM,6.92,,,UO_0000065,19.25,0.35,2.44,7.34,0,CHEMBL3584418,Inhibition of PAK1 in human EBC1 cells assessed as inhibition of MEK phosphorylation at S298 after 2 hrs by HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,EBC1,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3580661,1,Scientific Literature,J. Med. Chem.,2015,None,
CHEMBL3769552,,0,510.98,1,4.77,15,CNc1ncc2cc(-c3ccc(-c4cccc(C)n4)cc3Cl)c(=O)n(C[C@@H]3CCNCC3(F)F)c2n1,IC50,'=',53,nM,7.28,,,UO_0000065,14.24,0.28,2.51,8.59,0,CHEMBL3772526,Inhibition of PAK1 in human EBC1 cells assessed as reduction in levels of MEK phosphorylation at S298 residue after 2 hrs by HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,EBC1,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3769359,1,Scientific Literature,ACS Med. Chem. Lett.,2015,None,
CHEMBL3933198,,0,529.64,1,3.87,13,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(C)c3cc(CO)c(C)cc3C)n2)cc(N2CCOCC2)c1,IC50,'=',270,nM,6.57,,,UO_0000065,12.4,0.24,2.7,6.09,0,CHEMBL3865530,Inhibition of PAK1 phosphorylation in human MCF10A cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,MCF-10A,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3864184,1,Scientific Literature,ACS Med Chem Lett,2016,CHEMBL3307364,
CHEMBL3961614,,0,501.58,1,3.17,3,Cc1ccc(CO)cc1N(C)c1nc(Nc2cc(N3CCOCC3)cc(S(C)(=O)=O)c2)ncc1F,IC50,'=',14,nM,7.85,,,UO_0000065,15.66,0.31,4.68,7.28,0,CHEMBL3865529,Inhibition of PAK1 (unknown origin) by ATP-kinaseGlo assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3864184,1,Scientific Literature,ACS Med Chem Lett,2016,None,
CHEMBL2403074,,0,485.98,1,5.01,20,CN1CCN(c2ccc(Nc3ncc(Cl)c(-c4cccc(CC#N)c4)n3)cc2-c2ncco2)CC1,IC50,'=',1420,nM,5.85,,,UO_0000065,12.03,0.23,0.84,6.21,0,CHEMBL2404585,Inhibition of human recombinant PAK1 using MBP as substrate by scintillation counting analysis in presence of [gamma-32P]ATP,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2401639,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2013,None,
CHEMBL2403073,,0,518.07,1,4.84,19,CCN(CC)C(=O)c1cc(Nc2ncc(Cl)c(-c3cccc(CC#N)c3)n2)ccc1N1CCN(C)CC1,IC50,'=',4010,nM,5.4,,,UO_0000065,10.42,0.2,0.56,6.11,0,CHEMBL2404585,Inhibition of human recombinant PAK1 using MBP as substrate by scintillation counting analysis in presence of [gamma-32P]ATP,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2401639,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2013,None,
CHEMBL2403069,,0,462.94,0,4.06,15,CN1CCN(c2ccc(Nc3ncc(Cl)c(-c4cccc(CC#N)c4)n3)cc2C(=O)O)CC1,IC50,'=',11300,nM,4.95,,,UO_0000065,10.69,0.2,0.89,4.69,0,CHEMBL2404585,Inhibition of human recombinant PAK1 using MBP as substrate by scintillation counting analysis in presence of [gamma-32P]ATP,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2401639,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2013,None,
CHEMBL3609328,,0,328.37,0,3.35,1,CN1CCN(C2=Nc3cc(F)ccc3Nc3ccc(F)cc32)CC1,IC50,'=',54000,nM,4.27,,,UO_0000065,13,0.24,0.92,13.82,0,CHEMBL3610933,Inhibition of wild type phosphorylated form of PAK1 (249 to 545) (unknown origin) expressed in Escherichia coli using 5-Fluo-Ahx-AKRRRLSSLRA-COOH as substrate preincubated for 60 mins followed by substrate addition measured after 60 mins by Caliper assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3608218,1,Scientific Literature,ACS Med. Chem. Lett.,2015,None,
CHEMBL3597011,,0,401.9,1,5.1,36,CN1CCc2cc(-c3cnc4[nH]cc(C(=O)c5ccccc5Cl)c4c3)ccc2C1,IC50,'=',1,nM,9,,,UO_0000065,22.39,0.42,3.9,18.37,0,CHEMBL3598610,Inhibition of human PAK1 kinase domain incubated for 120 mins using fluorescent 5-FAM-KPDRKKRYTVVGNPY-amide peptide substrate and ATP by caliper off-chip incubation mobility shift assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3596182,1,Scientific Literature,MedChemComm,2014,None,
CHEMBL3596929,,0,410.86,0,3.39,32,COc1nn(C)cc1-c1cnc2[nH]cc(C(=O)c3ccc(CCO)cc3Cl)c2c1,IC50,'=',140,nM,6.85,,,UO_0000065,16.68,0.32,3.46,7.37,0,CHEMBL3598610,Inhibition of human PAK1 kinase domain incubated for 120 mins using fluorescent 5-FAM-KPDRKKRYTVVGNPY-amide peptide substrate and ATP by caliper off-chip incubation mobility shift assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3596182,1,Scientific Literature,MedChemComm,2014,None,
CHEMBL3596911,,0,419.92,0,4.54,14,Cc1cccc(Cl)c1C(=O)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,IC50,'=',88,nM,7.06,,,UO_0000065,16.8,0.32,2.52,9.33,0,CHEMBL3598610,Inhibition of human PAK1 kinase domain incubated for 120 mins using fluorescent 5-FAM-KPDRKKRYTVVGNPY-amide peptide substrate and ATP by caliper off-chip incubation mobility shift assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3596182,1,Scientific Literature,MedChemComm,2014,None,
CHEMBL3596901,,0,441.94,0,3.84,4,O=S(=O)(c1ccccc1Cl)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,IC50,'=',6300,nM,5.2,,,UO_0000065,11.77,0.24,1.36,5.61,0,CHEMBL3598610,Inhibition of human PAK1 kinase domain incubated for 120 mins using fluorescent 5-FAM-KPDRKKRYTVVGNPY-amide peptide substrate and ATP by caliper off-chip incubation mobility shift assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3596182,1,Scientific Literature,MedChemComm,2014,None,
CHEMBL259041,,0,222.32,0,2.64,"Table S1, R7C1",CCCCCSc1ncnc2[nH]cnc12,IC50,'=',38000,nM,4.42,,,UO_0000065,19.88,0.4,1.78,8.12,0,CHEMBL935260,Inhibition of PAK1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1141629,1,Scientific Literature,J. Med. Chem.,2008,None,
CHEMBL407278,,0,259.36,0,2.98,"Table S1, R4C1",CC1CC(Nc2ncnc3[nH]cnc23)CC(C)(C)C1,IC50,'=',23000,nM,4.64,,,UO_0000065,17.88,0.33,1.66,6.98,0,CHEMBL935260,Inhibition of PAK1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1141629,1,Scientific Literature,J. Med. Chem.,2008,None,
CHEMBL2386716,,0,373.46,0,4.87,I-114,C[C@H](Nc1nccc(Nc2cc(C3CCC3)[nH]n2)n1)c1ccc2[nH]ccc2c1,IC50,'=',133,nM,6.88,,,UO_0000065,18.41,0.34,2.01,7.29,0,CHEMBL2388905,Inhibition of PAK1-mediated MEK1 phosphorylation at Ser298 in human EBC1 cells after 2 hrs by HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,EBC1,None,,,,CHEMBL4600,Serine/threonine-protein kinase PAK 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2384931,1,Scientific Literature,ACS Med. Chem. Lett.,2013,None,
