cmpdname,isosmiles
Phenylacetic acid,C1=CC=C(C=C1)CC(=O)O
1-Propanol,CCCO
Propionic Acid,CCC(=O)O
Pyrogallol,C1=CC(=C(C(=C1)O)O)O
Pyruvic acid,CC(=O)C(=O)O
Quinolinic acid,C1=CC(=C(N=C1)C(=O)O)C(=O)O
Dimethyl sulfide,CSC
Succinic Acid,C(CC(=O)O)C(=O)O
Vanillin,COC1=C(C=CC(=C1)C=O)O
Ibotenic acid,C1=C(ONC1=O)C(C(=O)O)N
2-Heptyl-4-hydroxyquinoline n-oxide,CCCCCCCC1=CC(=O)C2=CC=CC=C2N1O
3-Nitropropionic acid,C(C[N+](=O)[O-])C(=O)O
7-Chlorokynurenic acid,C1=CC2=C(C=C1Cl)NC(=CC2=O)C(=O)O
N-Acetyl-DL-tryptophan,CC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O
Spectinomicina,CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O
"2-(dimethylamino)-6-(hydroxymethyl)-4,5,6,6a-tetrahydro-3aH-cyclopenta[d][1,3]oxazole-4,5-diol",CN(C)C1=NC2C(C(C(C2O1)CO)O)O
Benzyl benzoate,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
Berberine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC
Bisindolylmaleimide v,CN1C(=O)C(=C(C1=O)C2=CNC3=CC=CC=C32)C4=CNC5=CC=CC=C54
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
Cephalosporine,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CCCC(C(=O)O)N)SC1)C(=O)O
Eucalyptol,CC1(C2CCC(O1)(CC2)C)C
Compactin;ML236B,CCC(C)C(=O)OC1CCC=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O
Diferuloylmethane;Natural Yellow 3;Turmeric yellow,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O
Decanoic acid,CCCCCCCCCC(=O)O
Dephostatin,CN(C1=C(C=CC(=C1)O)O)N=O
"3,3'-Diindolylmethane",C1=CC=C2C(=C1)C(=CN2)CC3=CNC4=CC=CC=C43
Benzophenone,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2
Emodin,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O
"[(2S,3R)-3-Amino-2-hydroxy-4-phenylbutyryl]-L-leucine",CC(C)CC(C(=O)O)NC(=O)C(C(CC1=CC=CC=C1)N)O
Eugenol,COC1=C(C=CC(=C1)CC=C)O
Fusaric acid,CCCCC1=CN=C(C=C1)C(=O)O
"3-Amino-2,3-dihydrobenzoic acid",C1C(C=CC=C1C(=O)O)N
Indigotindisulfonic acid,C1=CC2=C(C=C1S(=O)(=O)O)C(=C(N2)C3=NC4=C(C3=O)C=C(C=C4)S(=O)(=O)O)O
Isopropyl Alcohol,CC(C)O
Juglone,C1=CC2=C(C(=O)C=CC2=O)C(=C1)O
"6,7,12,13-tetrahydro-5H-indolo[2,3-a]pyrrolo[3,4-c]carbazol-5-one",C1C2=C3C4=CC=CC=C4NC3=C5C(=C2C(=O)N1)C6=CC=CC=C6N5
Kojic acid,C1=C(OC=C(C1=O)O)CO
2-Benzylsuccinic acid,C1=CC=C(C=C1)CC(CC(=O)O)C(=O)O
Lapachol,CC(=CCC1=C(C2=CC=CC=C2C(=O)C1=O)O)C
Lauric Acid,CCCCCCCCCCCC(=O)O
Lavendustin A,C1=CC=C(C(=C1)CN(CC2=C(C=CC(=C2)O)O)C3=CC(=C(C=C3)O)C(=O)O)O
Lavendustin b,C1=CC=C(C(=C1)CN(CC2=CC=CC=C2O)C3=CC(=C(C=C3)O)C(=O)O)O
N-Acetyl-L-leucyl-L-leucyl-L-argininal,CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C=O)NC(=O)C
Methyl Salicylate,COC(=O)C1=CC=CC=C1O
Mimosamycin,CC1=C(C(=O)C2=CN(C(=O)C=C2C1=O)C)OC
"1-[3,4-Dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-hydroxyimidazole-4-carboxamide",C1=NC(=C(N1C2C(C(C(O2)CO)O)O)O)C(=O)N
Muscimol,C1=C(ONC1=O)CN
Diethyltoluamide,CCN(CC)C(=O)C1=CC=CC(=C1)C
Patulin,C1C=C2C(=CC(=O)O2)C(O1)O
Phloretin,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O
Psilocin,CN(C)CCC1=CNC2=C1C(=CC=C2)O
CID 5033,CC1CC2C(O2)C=CC=CC(=O)CC3=C(C(=CC(=C3Cl)O)O)C(=O)O1
Resorcinol,C1=CC(=CC(=C1)O)O
Salicylamide,C1=CC=C(C(=C1)C(=O)N)O
C.I. Natural Red 20,CC(=CCC(C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)O)C
Fluoroacetic acid,C(C(=O)O)F
Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C
Triacetin,CC(=O)OCC(COC(=O)C)OC(=O)C
Triclosan,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl
Undecylenic acid,C=CCCCCCCCCC(=O)O
mitomycin C,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N
"2,4-Dichlorobenzoic acid",C1=CC(=C(C=C1Cl)Cl)C(=O)O
N-(4-Methoxyphenyl)acetamide,CC(=O)NC1=CC=C(C=C1)OC
Estrone,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O
Bis(3-aminopropyl)amine,C(CN)CNCCCN
Alanine,C[C@@H](C(=O)O)N
Allyl isothiocyanate,C=CCN=C=S
Physostigmine,C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C
2-Phenylethanol,C1=CC=C(C=C1)CCO
P-Toluenesulfonic acid,CC1=CC=C(C=C1)S(=O)(=O)O
Phenylalanine,C1=CC=C(C=C1)C[C@@H](C(=O)O)N
Hexanal,CCCCCC=O
Cycloserine,C1[C@H](C(=O)NO1)N
1-Pentanol,CCCCCO
Valine,CC(C)[C@@H](C(=O)O)N
Cordycepin,C1[C@H](O[C@H]([C@@H]1O)N2C=NC3=C(N=CN=C32)N)CO
Arginine,C(C[C@@H](C(=O)O)N)CN=C(N)N
Bromodichloromethane,C(Cl)(Cl)Br
Gibberellic acid,C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O
Triethyl citrate,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O
Isophorone,CC1=CC(=O)CC(C1)(C)C
Linalool,CC(=CCCC(C)(C=C)O)C
Isoprene,CC(=C)C=C
Isobutanol,CC(C)CO
Isobutyraldehyde,CC(C)C=O
2-Butanol,CCC(C)O
Methyl Ethyl Ketone,CCC(=O)C
Methyl acetate,CC(=O)OC
Isobutyric acid,CC(C)C(=O)O
Purpurin,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3O)O)O
"2-Hydroxy-1,4-naphthoquinone",C1=CC=C2C(=C1)C(=CC(=O)C2=O)O
Diethyl phthalate,CCOC(=O)C1=CC=CC=C1C(=O)OCC
Pyocyanine,CN1C2=CC=CC=C2N=C3C1=CC=CC3=O
Methyl 2-(methylamino)benzoate,CNC1=CC=CC=C1C(=O)OC
Thiolutin,CC(=O)NC1=C2C(=CSS2)N(C1=O)C
Isoamyl salicylate,CC(C)CCOC(=O)C1=CC=CC=C1O
Thymol,CC1=CC(=C(C=C1)C(C)C)O
N-Phenyl-1-naphthylamine,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32
"2,6-Dimethoxyphenol",COC1=C(C(=CC=C1)OC)O
Isatin,C1=CC=C2C(=C1)C(=O)C(=O)N2
Methyleugenol,COC1=C(C=C(C=C1)CC=C)OC
2-Methoxy-4-methylphenol,CC1=CC(=C(C=C1)O)OC
Methyl benzoate,COC(=O)C1=CC=CC=C1
Ethyl benzoate,CCOC(=O)C1=CC=CC=C1
Propylparaben,CCCOC(=O)C1=CC=C(C=C1)O
Isopentyl benzoate,CC(C)CCOC(=O)C1=CC=CC=C1
2-Methylbutyraldehyde,CCC(C)C=O
gamma-Butyrolactone,C1CC(=O)OC1
Ethyl isobutyrate,CCOC(=O)C(C)C
Ethyl lactate,CCOC(=O)C(C)O
Isobutyl isobutyrate,CC(C)COC(=O)C(C)C
Butyl isobutyrate,CCCCOC(=O)C(C)C
Furfuryl alcohol,C1=COC(=C1)CO
Furfural,C1=COC(=C1)C=O
Furfuryl mercaptan,C1=COC(=C1)CS
Acetophenone,CC(=O)C1=CC=CC=C1
3-Hydroxybenzoic acid,C1=CC(=CC(=C1)O)C(=O)O
"3,5-Dihydroxybenzoic acid",C1=C(C=C(C=C1O)O)C(=O)O
Carvone,CC1=CCC(CC1=O)C(=C)C
alpha-Phellandrene,CC1=CCC(C=C1)C(C)C
gamma-Terpinene,CC1=CCC(=CC1)C(C)C
4-Methoxybenzoic acid,COC1=CC=C(C=C1)C(=O)O
Styrene,C=CC1=CC=CC=C1
Anisole,COC1=CC=CC=C1
3-Methylanisole,CC1=CC(=CC=C1)OC
Ethyl phenylacetate,CCOC(=O)CC1=CC=CC=C1
Benzyl isobutyrate,CC(C)C(=O)OCC1=CC=CC=C1
Benzyl butyrate,CCCC(=O)OCC1=CC=CC=C1
Benzyl isovalerate,CC(C)CC(=O)OCC1=CC=CC=C1
Phenethyl acetate,CC(=O)OCCC1=CC=CC=C1
Phenethyl isobutyrate,CC(C)C(=O)OCCC1=CC=CC=C1
Phenethyl butyrate,CCCC(=O)OCCC1=CC=CC=C1
3-Phenylpropyl isobutyrate,CC(C)C(=O)OCCCC1=CC=CC=C1
Phenylacetone,CC(=O)CC1=CC=CC=C1
4-Methoxybenzyl acetate,CC(=O)OCC1=CC=C(C=C1)OC
gamma-Octalactone,CCCCC1CCC(=O)O1
Benzyl formate,C1=CC=C(C=C1)COC=O
Gamma-nonalactone,CCCCCC1CCC(=O)O1
2-Phenylethyl formate,C1=CC=C(C=C1)CCOC=O
Gamma-undecalactone,CCCCCCCC1CCC(=O)O1
4-Methoxybenzyl alcohol,COC1=CC=C(C=C1)CO
gamma-Heptalactone,CCCC1CCC(=O)O1
Ethyl propionate,CCC(=O)OCC
Ethyl butyrate,CCCC(=O)OCC
"1,1-Diethoxyethane",CCOC(C)OCC
Propyl butyrate,CCCC(=O)OCCC
Isoamyl propionate,CCC(=O)OCCC(C)C
Isobutyl hexanoate,CCCCCC(=O)OCC(C)C
Citronellal,CC(CCC=C(C)C)CC=O
Isoamyl butyrate,CCCC(=O)OCCC(C)C
Ethyl heptanoate,CCCCCCC(=O)OCC
Ethyl octanoate,CCCCCCCC(=O)OCC
Propyl propionate,CCCOC(=O)CC
Methyl hexanoate,CCCCCC(=O)OC
Methyl heptanoate,CCCCCCC(=O)OC
1-Propanethiol,CCCS
2-Pentanone,CCCC(=O)C
Methyl isobutyl ketone,CC(C)CC(=O)C
gamma-Valerolactone,CC1CCC(=O)O1
"2,6-Dimethylpyrazine",CC1=CN=CC(=N1)C
Ethyl isovalerate,CCOC(=O)CC(C)C
"2,6-Dimethyl-4-heptanone",CC(C)CC(=O)CC(C)C
Butyl isovalerate,CCCCOC(=O)CC(C)C
Butyl butyrate,CCCCOC(=O)CCC
Propyl acetate,CCCOC(=O)C
Ethyl formate,CCOC=O
Isobutyl acetate,CC(C)COC(=O)C
Ethyl decanoate,CCCCCCCCCC(=O)OCC
Methyl decanoate,CCCCCCCCCC(=O)OC
2-Heptanone,CCCCCC(=O)C
Pentanal,CCCCC=O
Methyl octanoate,CCCCCCCC(=O)OC
2-Octanone,CCCCCCC(=O)C
Heptanoic acid,CCCCCCC(=O)O
1-Hexanol,CCCCCCO
1-Heptanol,CCCCCCCO
Heptanal,CCCCCCC=O
Nonanoic acid,CCCCCCCCC(=O)O
Heptyl acetate,CCCCCCCOC(=O)C
2-Undecanone,CCCCCCCCCC(=O)C
Octyl acetate,CCCCCCCCOC(=O)C
1-Decanol,CCCCCCCCCCO
Decanal,CCCCCCCCCC=O
Undecanal,CCCCCCCCCCC=O
Dodecanal,CCCCCCCCCCCC=O
3-Hydroxy-3-methyl-2-butanone,CC(=O)C(C)(C)O
Linalyl acetate,CC(=CCCC(C)(C=C)OC(=O)C)C
2-Methylbutanoic acid,CCC(C)C(=O)O
"3,4,5-Trimethoxybenzoic acid",COC1=CC(=CC(=C1OC)OC)C(=O)O
Maltol,CC1=C(C(=O)C=CO1)O
2-Benzyl-4-chlorophenol,C1=CC=C(C=C1)CC2=C(C=CC(=C2)Cl)O
Piperonal,C1OC2=C(O1)C=C(C=C2)C=O
Dimethyl terephthalate,COC(=O)C1=CC=C(C=C1)C(=O)OC
Vanillic acid,COC1=C(C=CC(=C1)C(=O)O)O
Methyl anthranilate,COC(=O)C1=CC=CC=C1N
Butyl benzoate,CCCCOC(=O)C1=CC=CC=C1
2-Methyl-1-butanol,CCC(C)CO
Butyl lactate,CCCCOC(=O)C(C)O
"2-Propenoic acid, 3-phenyl-",C1=CC=C(C=C1)C=CC(=O)O
Benzyl acetate,CC(=O)OCC1=CC=CC=C1
Phenethyl isovalerate,CC(C)CC(=O)OCCC1=CC=CC=C1
Estragole,COC1=CC=C(C=C1)CC=C
Ethyl acrylate,CCOC(=O)C=C
Citronellyl propionate,CCC(=O)OCCC(C)CCC=C(C)C
Citronellyl butyrate,CCCC(=O)OCCC(C)CCC=C(C)C
Citronellol,CC(CCC=C(C)C)CCO
Ethyl Acetate,CCOC(=O)C
Ethyl acetoacetate,CCOC(=O)CC(=O)C
Allyl heptanoate,CCCCCCC(=O)OCC=C
"1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl-",CC(=CCCC(=CCCC(C)(C=C)O)C)C
Hexanoic acid,CCCCCC(=O)O
Hexyl acetate,CCCCCCOC(=O)C
"1,4-Dimethoxybenzene",COC1=CC=C(C=C1)OC
Citronellyl acetate,CC(CCC=C(C)C)CCOC(=O)C
"1,3-Dimethoxybenzene",COC1=CC(=CC=C1)OC
Cianidanol,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
Muscarine,C[C@H]1[C@@H](C[C@H](O1)C[N+](C)(C)C)O
5-[(Aminooxy)methyl]-2-bromophenyl dihydrogen phosphate,C1=CC(=C(C=C1CON)OP(=O)(O)O)Br
6-Methyl-5-hepten-2-one,CC(=CCCC(=O)C)C
beta-Cyclocitral,CC1=C(C(CCC1)(C)C)C=O
"1,4-Cineole",CC(C)C12CCC(O1)(CC2)C
Javanicin,CC1=C(C(=C2C(=C1O)C(=O)C=C(C2=O)OC)O)CC(=O)C
Islandicin,CC1=CC(=C2C(=C1O)C(=O)C3=C(C2=O)C(=CC=C3)O)O
Chrysophanol,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O
Indigo,C1=CC=C2C(=C1)C(=C(N2)C3=NC4=CC=CC=C4C3=O)O
"2-Hydroxy-3-methyl-1,4-naphthoquinone",CC1=C(C2=CC=CC=C2C(=O)C1=O)O
Quinoline-4-carboxylic acid,C1=CC=C2C(=C1)C(=CC=N2)C(=O)O
Aspergillic acid,CCC(C)C1=CN=C(C(=O)N1O)CC(C)C
Carvacrol,CC1=C(C=C(C=C1)C(C)C)O
2-(4-Hydroxyphenyl)ethanol,C1=CC(=CC=C1CCO)O
Citronellic acid,CC(CCC=C(C)C)CC(=O)O
Isovaleric acid,CC(C)CC(=O)O
Orcinol,CC1=CC(=CC(=C1)O)O
"1,4-Dithiane",C1CSCCS1
Podofilox,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O
Tryptophol,C1=CC=C2C(=C1)C(=CN2)CCO
2-Nitroimidazole,C1=CN=C(N1)[N+](=O)[O-]
"1,2,4-Benzenetriol",C1=CC(=C(C=C1O)O)O
Ethyl valerate,CCCCC(=O)OCC
Ethyl levulinate,CCOC(=O)CCC(=O)C
Isobutyl butyrate,CCCC(=O)OCC(C)C
Pentyl hexanoate,CCCCCC(=O)OCCCCC
Pentyl butyrate,CCCCCOC(=O)CCC
Isobutyl propionate,CCC(=O)OCC(C)C
Isobutyl formate,CC(C)COC=O
Cellocidin,C(#CC(=O)N)C(=O)N
2-Heptanol,CCCCCC(C)O
Methyl isobutyrate,CC(C)C(=O)OC
Violacein,C1=CC2=C(C(=O)N=C2C=C1)C3=C(NC(=C3)C4=CNC5=C4C=C(C=C5)O)O
Polyporic acid,C1=CC=C(C=C1)C2=C(C(=O)C(=C(C2=O)O)C3=CC=CC=C3)O
6-Aminopenicillanic acid,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)N)C(=O)O)C
2'-Aminoacetophenone,CC(=O)C1=CC=CC=C1N
Methyl propionate,CCC(=O)OC
Methyl isovalerate,CC(C)CC(=O)OC
3-Methyl-2-buten-1-OL,CC(=CCO)C
Propyl isovalerate,CCCOC(=O)CC(C)C
4-Carvomenthenol,CC1=CCC(CC1)(C(C)C)O
3'-Methylacetophenone,CC1=CC(=CC=C1)C(=O)C
3-Hexanone,CCCC(=O)CC
Isobutyl isovalerate,CC(C)CC(=O)OCC(C)C
3-Octanol,CCCCCC(CC)O
Butyl propionate,CCCCOC(=O)CC
3-Methylbutanal,CC(C)CC=O
Levulinic acid,CC(=O)CCC(=O)O
Chloroiodomethane,C(Cl)I
"2,3-Pentanedione",CCC(=O)C(=O)C
Toyocamycin,C1=C(C2=C(N=CN=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N)C#N
Methyl 2-furoate,COC(=O)C1=CC=CO1
1-Ethyl-2-methylbenzene,CCC1=CC=CC=C1C
"2-Methoxy-5-methyl-1,4-benzoquinone",CC1=CC(=O)C(=CC1=O)OC
2-Amino-5-nitrobenzoic acid,C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)N
4-Hydroxy-3-nitrobenzoic acid,C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])O
Ethyl pyruvate,CCOC(=O)C(=O)C
2-Phenyl-2-propanol,CC(C)(C1=CC=CC=C1)O
2-Chloro-4-nitrophenol,C1=CC(=C(C=C1[N+](=O)[O-])Cl)O
5-Methylfurfural,CC1=CC=C(O1)C=O
Furfuryl acetate,CC(=O)OCC1=CC=CO1
3-Hexanol,CCCC(CC)O
Methyl butyrate,CCCC(=O)OC
2-Methylbutyl acetate,CCC(C)COC(=O)C
Pentyl propionate,CCCCCOC(=O)CC
Dimethyl disulfide,CSSC
"2,5-Dimethylfuran",CC1=CC=C(O1)C
Propyl hexanoate,CCCCCC(=O)OCCC
Butyl hexanoate,CCCCCC(=O)OCCCC
Pentyl acetate,CCCCCOC(=O)C
2-Nonanol,CCCCCCCC(C)O
Propyl isobutyrate,CCCOC(=O)C(C)C
Isoamyl isovalerate,CC(C)CCOC(=O)CC(C)C
gamma-Caprolactone,CCC1CCC(=O)O1
delta-Decalactone,CCCCCC1CCCC(=O)O1
gamma-Decalactone,CCCCCCC1CCC(=O)O1
delta-Dodecalactone,CCCCCCCC1CCCC(=O)O1
3-Methyl-3-buten-1-OL,CC(=C)CCO
Porfiromycin,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4C)N
2-Nonanone,CCCCCCCC(=O)C
Methyl 2-methylbutyrate,CCC(C)C(=O)OC
6-Methylheptan-2-one,CC(C)CCCC(=O)C
"1,2,4,5-Tetrachloro-3,6-dimethoxybenzene",COC1=C(C(=C(C(=C1Cl)Cl)OC)Cl)Cl
Pyrrolnitrin,C1=CC(=C(C(=C1)Cl)[N+](=O)[O-])C2=CNC=C2Cl
1H-Imidazole-4-carboxylic acid,C1=C(NC=N1)C(=O)O
"3,4-Dibromo-1h-pyrrole-2,5-dione",C1(=C(C(=O)NC1=O)Br)Br
2-Acetylpyridine,CC(=O)C1=CC=CC=N1
"2,3,5,6-Tetramethylpyrazine",CC1=C(N=C(C(=N1)C)C)C
2-Acetylfuran,CC(=O)C1=CC=CO1
2-Acetyl-5-methylfuran,CC1=CC=C(O1)C(=O)C
Tetrachlorocatechol,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O)O
Sangivamycin,C1=C(C2=C(N=CN=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N)C(=O)N
"2,5-Heptanedione",CCC(=O)CCC(=O)C
"1-Phenylpropane-1,2-diol",CC(C(C1=CC=CC=C1)O)O
3-Methylbutyl octanoate,CCCCCCCC(=O)OCCC(C)C
Perillaldehyde,CC(=C)C1CCC(=CC1)C=O
"2,4-Diacetylphloroglucinol",CC(=O)C1=C(C(=C(C=C1O)O)C(=O)C)O
3-Methylbutyl hexanoate,CCCCCC(=O)OCCC(C)C
l-Menthol,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C
d-Carvone,CC1=CC[C@@H](CC1=O)C(=C)C
gamma-Dodecalactone,CCCCCCCCC1CCC(=O)O1
Isopropyl hexanoate,CCCCCC(=O)OC(C)C
Hexyl isobutyrate,CCCCCCOC(=O)C(C)C
"2,2,6-Trimethylcyclohexanone",CC1CCCC(C1=O)(C)C
11-Aminoundecanoic acid,C(CCCCCN)CCCCC(=O)O
Dodecanenitrile,CCCCCCCCCCCC#N
alpha-TERPINEOL,CC1=CCC(CC1)C(C)(C)O
2-Methylbutyl 2-methylbutyrate,CCC(C)COC(=O)C(C)CC
Tetrachloroguaiacol,COC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O
Hexyl butyrate,CCCCCCOC(=O)CCC
"3,5-Dimethylcatechol",CC1=CC(=C(C(=C1)O)O)C
"3,4-Dimethylbenzene-1,2-diol",CC1=C(C(=C(C=C1)O)O)C
"2-Amino-3-chloro-1,4-naphthoquinone",C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)N
"5,8-Dihydroxy-2,7-dimethoxy-1,4-naphthoquinone",COC1=CC(=O)C2=C(C1=O)C(=C(C=C2O)OC)O
2-Methoxy-3-methylpyrazine,CC1=NC=CN=C1OC
2-Methyltetrahydrofuran-3-one,CC1C(=O)CCO1
2-Ethylfuran,CCC1=CC=CO1
3-(Methylthio)propionaldehyde,CSCCC=O
delta-Nonalactone,CCCCC1CCCC(=O)O1
"3,5-Dichloro-4-hydroxybenzoic acid",C1=C(C=C(C(=C1Cl)O)Cl)C(=O)O
Sabinene,CC(C)C12CCC(=C)C1C2
1-Octen-3-OL,CCCCCC(C=C)O
N-Butylbenzenesulfonamide,CCCCNS(=O)(=O)C1=CC=CC=C1
Furaneol,CC1C(=O)C(=C(O1)C)O
2-Pentylfuran,CCCCCC1=CC=CO1
2-Heptylfuran,CCCCCCCC1=CC=CO1
"2,3-Hexanedione",CCCC(=O)C(=O)C
3-Chloro-4-hydroxybenzoic acid,C1=CC(=C(C=C1C(=O)O)Cl)O
Mitomycin A,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)OC
Mitomycin B,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@H]2COC(=O)N)O)N4C)OC
3-Butylphenol,CCCCC1=CC(=CC=C1)O
2-Octanol,CCCCCCC(C)O
"2,2'-Trithiobisethanol",C(CSSSCCO)O
Stipitatic acid,C1=C(C=C(C(=CC1=O)O)O)C(=O)O
6-Methylhept-5-en-2-ol,CC(CCC=C(C)C)O
3-Methyl-1-heptene,CCCCC(C)C=C
Ochratoxin B,C[C@@H]1CC2=C(C(=C(C=C2)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)O)C(=O)O1
4-(4-Hydroxyphenyl)-2-butanone,CC(=O)CCC1=CC=C(C=C1)O
"1,3,6,8-Tetrahydroxy-2-(1-hydroxyhexyl)anthraquinone",CCCCCC(C1=C(C=C2C(=C1O)C(=O)C3=C(C2=O)C=C(C=C3O)O)O)O
"2,3-Dimethylpyrazine",CC1=NC=CN=C1C
Linalyl oxide,CC1(CCC(O1)C(C)(C)O)C=C
Limonene,CC1=CCC(CC1)C(=C)C
2-Dodecanone,CCCCCCCCCCC(=O)C
Hexyl hexanoate,CCCCCCOC(=O)CCCCC
Aflatoxin B2 alpha,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4C5CCOC5OC4=C1
Psoromic acid,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C(=CC(=C3C)OC)C(=O)O)C=O)O
Ethyl 2-methylbutyrate,CCC(C)C(=O)OCC
Butyl butyryllactate,CCCCOC(=O)C(C)OC(=O)CCC
Camptothecin,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
Riboprine,CC(=CCNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)C
Dihydrocarvone,CC1CCC(CC1=O)C(=C)C
